c_function,c_signature,go_file,go_func,go_signature,is_c_public,notes
H3_GET_HIGH_BIT,(C-internal: h3Index.h),h3index__mode_highbit.go,getHighBit,func getHighBit(h H3Index) int32,false,kind: func
H3_GET_INDEX_DIGIT,(C-internal: h3Index.h),h3index__indexDigit.go,getIndexDigit,"func getIndexDigit(h H3Index, res int32) int32",false,kind: func
H3_GET_MODE,(C-internal: h3Index.h),h3index__mode_highbit.go,getMode,func getMode(h H3Index) int32,false,kind: func
H3_GET_RESERVED_BITS,(C-internal: h3Index.h),h3index__reservedBits.go,getReservedBits,func getReservedBits(h H3Index) int32,false,kind: func
H3_SET_BASE_CELL,(C-internal: h3Index.h),h3index__getters.go,setBaseCell,"func setBaseCell(h H3Index, baseCell int32) H3Index",false,kind: func
H3_SET_HIGH_BIT,(C-internal: h3Index.h),h3index__mode_highbit.go,setHighBit,"func setHighBit(h H3Index, v int32) H3Index",false,kind: func
H3_SET_INDEX_DIGIT,(C-internal: h3Index.h),h3index__indexDigit.go,setIndexDigit,"func setIndexDigit(h H3Index, res int32, digit int32) H3Index",false,kind: func
H3_SET_MODE,(C-internal: h3Index.h),h3index__mode_highbit.go,setMode,"func setMode(h H3Index, v int32) H3Index",false,kind: func
H3_SET_RESERVED_BITS,(C-internal: h3Index.h),h3index__reservedBits.go,setReservedBits,"func setReservedBits(h H3Index, v int32) H3Index",false,kind: func
H3_SET_RESOLUTION,(C-internal: h3Index.h),h3index__getters.go,setResolution,"func setResolution(h H3Index, res int32) H3Index",false,kind: func
"H3_VERSION_MAJOR,",(C-internal: h3api.h),h3api_constants.go,,const (,false,kind: block
_incrementResDigit,(C-internal: iterators.c),iterators__incrementResDigit.go,incrementResDigit,"func incrementResDigit(h *H3Index, res int32)",false,kind: func
_iterInitParent,(C-internal: iterators.c),iterators__iterInitParent.go,iterInitParent,"func iterInitParent(h H3Index, childRes int32, iter *IterCellsChildren)",false,kind: func
_null_iter,(C-internal: iterators.c),iterators__null_iter.go,nullIter,func nullIter() IterCellsChildren,false,kind: func
iterInitBaseCellNum,(C-internal: iterators.c),iterators_iterInitBaseCellNum.go,iterInitBaseCellNum,"func iterInitBaseCellNum(baseCellNum int32, childRes int32) IterCellsChildren",false,kind: func
iterInitRes,(C-internal: iterators.c),iterators_iterInitRes.go,iterInitRes,func iterInitRes(res int32) IterCellsResolution,false,kind: func
iterStepChild,(C-internal: iterators.c),iterators__iterStepChild.go,iterStepChild,func iterStepChild(it *IterCellsChildren),false,kind: func
iterStepRes,(C-internal: iterators.c),iterators_iterStepRes.go,iterStepRes,func iterStepRes(itR *IterCellsResolution),false,kind: func
_geoAzDistanceRads,(C-internal: latLng.c),latLng__geoAzDistanceRads.go,_geoAzDistanceRads,"func _geoAzDistanceRads(p1 *LatLng, az, distance float64, p2 *LatLng)",false,kind: func
_geoAzimuthRads,(C-internal: latLng.c),latLng__geoAzimuthRads.go,_geoAzimuthRads,"func _geoAzimuthRads(p1, p2 *LatLng) float64",false,kind: func
_posAngleRads,(C-internal: latLng.c),latLng__posAngleRads.go,_posAngleRads,func _posAngleRads(rads float64) float64,false,kind: func
