file,layer,package,build_tags,attributions,h3_c_api_refs,exported_decls
linkedGeo__findDeepestContainer_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
linkedGeo__findPolygonForHole.go,ported-impl,h3,"-",1,0,0
linkedGeo__findPolygonForHole_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
linkedGeo__isClockwiseLinkedGeoLoop.go,ported-impl,h3,"-",2,0,0
linkedGeo__isClockwiseLinkedGeoLoop_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
linkedGeo__normalizeMultiPolygon.go,ported-impl,h3,"-",1,0,0
linkedGeo__normalizeMultiPolygon_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
linkedGeo__pointInsideLinkedGeoLoop.go,ported-impl,h3,"-",1,0,0
linkedGeo__pointInsideLinkedGeoLoop_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
linkedGeo_cgo.go,parity-cgo-bridge,h3,"cgo && c2go",0,0,-
linkedGeo_destroyLinkedGeoLoop.go,ported-impl,h3,"-",1,0,0
linkedGeo_destroyLinkedGeoLoop_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
linkedGeo_destroyLinkedMultiPolygon.go,ported-impl,h3,"-",1,0,0
linkedGeo_destroyLinkedMultiPolygon_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
localij__cellToLocalIj.go,ported-impl,h3,"-",1,0,0
localij__cellToLocalIjInternal_test.go,ported-internal-test,h3,"-",0,0,-
localij__cellToLocalIj_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
localij__cellToLocalIjk.go,ported-impl,h3,"-",1,0,0
localij__cellToLocalIjk_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
localij__cubeRound.go,ported-impl,h3,"-",1,0,0
localij__gridDistance.go,ported-impl,h3,"-",1,0,0
localij__gridDistance_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
localij__gridPathCellsSize.go,ported-impl,h3,"-",1,0,0
localij__gridPathCellsSize_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
localij__localIjToCell.go,ported-impl,h3,"-",1,0,0
